Codigo;Apellidos;Nombres;Correo Electronico;No. Calle o Avenida;No. de Casa;Zona
1;Abal Perez;Allison Adriana;alliabal@yahoo.com;6ta. Calle;4-36;1
2;Acabal Pantuj;Amy Lisseth;amyacab@hotmail.com;10ma. Calle;4-40;2
3;Acabal Poroj;Andrés;andracab@gmail.com;8va. Calle;1-33;3
4;Aceituno Garcìa;Denis Eugenio;deniacei@msn.com;2da. Calle;3-87;4
5;Acevedo Buitrago;Jairo Ramiro;jairacev@gmail.com;7ma. Avenida;8-35;5
6;Adderley Espinoza;Karen Alexandra;kareadde@yahoo.es;10ma. Calle;10-67;6
7;Agreda Castillo;Karen Violeta;kareagre@walla.com;8va. Calle;10-75;7
8;Agreda López;Karla Gabriela;karlagreda@aol.com;8va. Calle;11-03;8
9;Agreda Perdomo;Karla María;karlagre@yahoo.com;1ra. Avenida;11-06;9
10;Aguilar Aldana;Luis Carlos;luisagui@hotmail.com;8va. Calle;12-37;10
11;Aguilar Alvarez;María José;mariagui@gmail.com;2da. Calle;13-53;11
12;Aguilar Castellanos;Keneth Andree;keneagui@msn.com;9na. Avenida;11-34;12
13;Aguilar De Paz;Kenneth Alexander;kennagui@gmail.com;10ma. Calle;11-35;13
14;Aguilar Goméz;Luis Fernando;luisagui@yahoo.es;9na. Avenida;12-58;14
15;Aguilar Muralles;Kennya Walleska;kennagui@walla.com;4ta. Calle;11-39;15
16;Aguilar López;Kevin Alberto;keviagui@aol.com;10ma. Calle;11-45;16
17;Aguilar Oliva;Cristina Beatriz;crisagui@yahoo.com;4ta. Calle;3-39;17
18;Aguilar Pérez;Kevin Estuardo;keviagui@hotmail.com;6ta. Calle;11-51;18
19;Aguilar Zuñiga;Keiko Gil Soon;keikagui@gmail.com;4ta. Calle;11-29;19
20;Aguilar Rogel;Kevin José;keviagui@msn.com;1ra. Avenida;11-56;21
21;Aguilar Salguero;Jennie Fernanda;jennagui@gmail.com;5ta. Avenida;8-73;1
22;Aguilar Santos;Ana Gabriela;anaagui@yahoo.es;4ta. Calle;4-44;2
23;Aguilar Santos;Kimberly Renee;kimbagui@walla.com;3ra. Avenida;11-78;3
24;Aguirre Castillo;Jorge Luis;jorgagui@aol.com;7ma. Avenida;9-31;4
25;Agustin Alarcón;Karen Alejandra;kareagus@yahoo.com;9na. Avenida;10-66;5
26;Agustin Alonzo;Lester Bryan;lestagus@hotmail.com;3ra. Avenida;12-02;6
27;Ajanel Guerra;Ana Silvia María;anaajan@gmail.com;2da. Calle;4-62;7
28;Ajanel Guerra;Andrea;andrajan@msn.com;5ta. Avenida;1-10;8
29;Ajanel Pelicó;Lincy Aracely;lincajan@gmail.com;2da. Calle;12-11;9
30;Ajanel Pelicó;Mauro Antonio;maurajan@yahoo.es;5ta. Avenida;14-20;10
31;Alarcón Calderón;Abraham;abraalar@walla.com;1ra. Avenida;4-01;11
32;Alay Medina;Linda Isabel;lindalay@aol.com;3ra. Avenida;12-12;12
33;Albizú Echeverría;Otto Rene;ottoalbi@yahoo.com;4ta. Calle;15-52;13
34;Alburez Morataya;Kristel Manuela;krisalbu@hotmail.com;9na. Avenida;11-84;14
35;Alcántara Rodríguez;Bertha Alicia;bertalca@gmail.com;10ma. Calle;2-05;15
36;Aldana López;Linybel Alejandra;linyalda@msn.com;5ta. Avenida;12-14;16
37;Alfaro Noriega;Thania María;thanalfa@gmail.com;9na. Avenida;17-58;17
38;Alfaro Noriega;Lissa María;lissalfa@yahoo.es;6ta. Calle;12-15;18
39;Alfaro Noriega;José Guillermo;josealfa@walla.com;2da. Calle;9-66;19
40;Almaraz Flores;Erick Eduardo;ericalma@aol.com;9na. Avenida;6-16;21
41;Alonso García;José Pablo;josealon@yahoo.com;5ta. Avenida;10-02;1
42;Alonzo;Lourdes Maribel;louralon@hotmail.com;8va. Calle;12-17;2
43;Alonzo Cardona;Geraldine;geraalon@gmail.com;7ma. Avenida;7-09;3
44;Alonzo Vásquez;Lucía Elizabeth;lucialon@msn.com;9na. Avenida;12-18;4
45;Alvarado Bravo;David Alejandro;davialva@gmail.com;9na. Avenida;3-74;5
46;Alvarado Felix;Fernando Alberto;fernalva@yahoo.es;3ra. Avenida;6-60;6
47;Alvarado García;Sofía Del Pilar;sofialva@walla.com;4ta. Calle;17-33;7
48;Alvarado López;Luis Alberto;luisalva@aol.com;4ta. Calle;12-23;8
49;Alvarado López;Mercedes Sara María;mercalva@yahoo.com;1ra. Avenida;14-46;9
50;Alvarado Morales;Teresa Adriana;terealva@hotmail.com;8va. Calle;17-57;10
51;Alvarado Orellana;Luis Fernando;luisalva@gmail.com;10ma. Calle;12-59;11
52;Alvarado Orellana;María Fernanda;marialva@msn.com;9na. Avenida;13-40;12
53;Alvarado Orellana;Rodrigo Ignacio;rodralva@gmail.com;4ta. Calle;16-14;13
54;Alvarado Ortíz;Ana Isabel;anaalva@yahoo.es;6ta. Calle;4-46;14
55;Alvarado Pérez;Luis Fernando;luisalva@walla.com;1ra. Avenida;12-60;15
56;Alvarado Recinos;Patrick Allan;patralva@aol.com;7ma. Avenida;15-65;16
57;Alvarado Recinos;Inés Eugenia;inesalva@yahoo.com;1ra. Avenida;8-09;17
58;Alvarado Santizo;Madeleyn Sucely;madealva@hotmail.com;5ta. Avenida;13-06;18
59;Alvarez López;Samuel Alexander;samualva@gmail.com;6ta. Calle;16-46;19
60;Alvarez López;María José;marialva@msn.com;3ra. Avenida;13-54;21
61;Alvarez Marroquín;María Andrea;marialva@gmail.com;10ma. Calle;13-31;1
62;Alvarez Monzón;Javier Antonio;javialva@yahoo.es;3ra. Avenida;8-51;2
63;Alvarez Pérez;Estephanie Nicolle;estealva@walla.com;2da. Calle;6-39;3
64;Alvarez Pérez;María Del Pilar;marialva@aol.com;6ta. Calle;13-37;4
65;Alvarez Pérez;Silvia Alejandra;silvalva@yahoo.com;5ta. Avenida;17-24;5
66;Alvarez Pérez;Juan José;juanalva@hotmail.com;6ta. Calle;10-43;6
67;Alvarez Pérez;Pedro Luis;pedralva@gmail.com;8va. Calle;15-76;7
68;Alvarez Ruiz;María Fernanda;marialva@msn.com;10ma. Calle;13-41;8
69;Amado Aguilar;Rudy Javier;rudyamad@gmail.com;7ma. Avenida;16-37;9
70;Amado Aguilar;Carlos David;carlamad@yahoo.es;1ra. Avenida;2-56;10
71;Amaya;María Fernanda;mariamay@walla.com;1ra. Avenida;13-42;11
72;Amaya Sandoval;Marbelly Sarahy;marbamay@aol.com;7ma. Avenida;13-18;12
73;Amaya Vargas;Ana Cristina;anaamay@yahoo.com;1ra. Avenida;4-41;13
74;Ambrocio Amaya;Luis Eduardo;luisambr@hotmail.com;6ta. Calle;12-45;14
75;Ambrocio Campos;María Fernanda;mariambr@gmail.com;2da. Calle;13-43;15
76;Ambrosio Alemán;Jorge Eduardo Miguel;jorgambr@msn.com;4ta. Calle;9-28;16
77;Ancarola Quintero;María Fernanda;marianca@gmail.com;3ra. Avenida;13-44;17
78;Andersson Recinos;Joshua;joshande@yahoo.es;8va. Calle;10-15;18
79;Anleu De La Cruz;María Renée;marianle@walla.com;1ra. Avenida;13-62;19
80;Anzueto González;Carlos Guillermo;carlanzu@aol.com;8va. Calle;2-63;21
81;Aquino Cruz;Edgar Josue;edgaaqui@yahoo.com;8va. Calle;5-42;1
82;Aquino Cruz;María Gabriela;mariaqui@hotmail.com;7ma. Avenida;13-48;2
83;Aragón  Hernández;Adriana Valeria;adriarag@gmail.com;4ta. Calle;4-04;3
84;Arana Zepeda;Paulo André;paularan@msn.com;3ra. Avenida;15-71;4
85;Arce Paz;Maria José;mariarce@gmail.com;1ra. Avenida;13-52;5
86;Arceo Castillo;Keilly Nhoelí Melissa;keilarce@yahoo.es;5ta. Avenida;11-30;6
87;Arceo Castillo;Carlos Javier;carlarce@walla.com;10ma. Calle;2-65;7
88;Archila Contreras;José Eduardo;josearch@aol.com;6ta. Calle;9-60;8
89;Archila Contreras;María Virginia;mariarch@yahoo.com;6ta. Calle;13-67;9
90;Archila Hiemann;Ana Isabel;anaarch@hotmail.com;7ma. Avenida;4-47;10
91;Archila Vásquez;Leida Viviana;leidarch@gmail.com;3ra. Avenida;11-88;11
92;Ardón Díaz;Jean Willy;jeanardo@msn.com;10ma. Calle;8-58;12
93;Arenas Muñoz;María Ximena;mariaren@gmail.com;7ma. Avenida;13-68;13
94;Arenas Muñoz;Hamlet Oswaldo;hamlaren@yahoo.es;10ma. Calle;7-52;14
95;Arenas Muñoz;Giovanni Guillermo Wosveli;giovaren@walla.com;4ta. Calle;7-26;15
96;Arévalo Cuevas;Carol Stephanía;caroarev@aol.com;5ta. Avenida;2-70;16
97;Arevalo López;Mario Alberto;mariarev@yahoo.com;5ta. Avenida;13-76;17
98;Arévalo Teos;Luis Carlos Albert;luisarev@hotmail.com;10ma. Calle;12-39;18
99;Arévalo Urías;José Javier;josearev@gmail.com;7ma. Avenida;9-71;19
100;Argueta Cabrera;Mario Andrés;mariargu@msn.com;7ma. Avenida;13-78;21
101;Argueta Cabrera;Astrid Pamela;astrargu@gmail.com;1ra. Avenida;1-66;1
102;Argueta Chajón;Cindy Paola;cindargu@yahoo.es;2da. Calle;3-17;2
103;Argueta Girón;Ana Patricia;anaargu@walla.com;9na. Avenida;4-59;3
104;Argueta Hernández;Mario Enrique;mariargu@aol.com;1ra. Avenida;13-82;4
105;Argueta Hernández;Caroll Silvia;caroargu@yahoo.com;10ma. Calle;2-75;5
106;Argueta Rafael;Lilian Ruth;liliargu@hotmail.com;1ra. Avenida;12-10;6
107;Argueta Y Argueta;Márjory Betzabeth;marjargu@gmail.com;5ta. Avenida;13-86;7
108;Arizandieta Mazariegos;Alfonso Jose;alfoariz@msn.com;5ta. Avenida;4-25;8
109;Arreaga Barrios;Karol Melissa;karoarre@gmail.com;5ta. Avenida;11-10;9
110;Arrecis De León;Leeza Mareé;leezarre@yahoo.es;2da. Calle;11-87;10
111;Arrecis Tortola;Marvin Roderico;marvarre@walla.com;1ra. Avenida;14-16;11
112;Arredondo Vélasquez;Jose Andres;josearre@aol.com;3ra. Avenida;9-47;12
113;Arreola Yax;Christian;chriarre@yahoo.com;4ta. Calle;2-89;13
114;Arriaza Arredondo;Maykold Jonathan;maykarri@hotmail.com;9na. Avenida;14-24;14
115;As Xiquín;Erwin Estuardo;erwiasx@gmail.com;4ta. Calle;6-31;15
116;Asij Revolorio;Oscar Aarón Emanuel;oscaasij@msn.com;6ta. Calle;15-34;16
117;Asturias Gonzalez;Valery Andrea;valeastu@gmail.com;8va. Calle;18-01;17
118;Asturias Muñoz;Melissa Beatriz;meliastu@yahoo.es;8va. Calle;14-43;18
119;Auyón Licardie;Hector Gustavo;hectauyo@walla.com;7ma. Avenida;7-59;19
120;Avendaño Taracena;Eduardo Andrés;eduaaven@aol.com;7ma. Avenida;5-51;21
121;Avila Flores;Christian Javier;chriavil@yahoo.com;7ma. Avenida;3-02;1
122;Avilèz Vàsquez;Miguel Andrés;miguavil@hotmail.com;6ta. Calle;14-51;2
123;Ayala Larios;Ericka Ninette;ericayal@gmail.com;9na. Avenida;6-26;3
124;Ayala Martínez;Bryan René;bryaayal@msn.com;7ma. Avenida;2-42;4
125;Ayapán Balcárcel;Miguel Angel;miguayap@gmail.com;7ma. Avenida;14-52;5
126;Ayapán Balcárcel;Jorge Rodrigo;jorgayap@yahoo.es;5ta. Avenida;9-39;6
127;Azurdia Gutiérrez;Nara;naraazur@walla.com;9na. Avenida;15-07;7
128;Azurdia López;Ana Lucía;anaazur@aol.com;10ma. Calle;4-50;8
129;Bailón Ábrigo;Miriam Isabel;miribail@yahoo.com;8va. Calle;14-63;9
130;Baiza Muñoz;Dong Hyung;dongbaiz@hotmail.com;5ta. Avenida;5-19;10
131;Balcárcel Muñoz;Christian René;chribalc@gmail.com;2da. Calle;3-07;11
132;Baltazar Cabrera;Piljung;piljbalt@msn.com;2da. Calle;15-80;12
133;Baltazar Donis;Mónica Cristina;monibalt@gmail.com;9na. Avenida;14-74;13
134;Baltazar Donis;Gustavo Gerardo;gustbalt@yahoo.es;7ma. Avenida;7-49;14
135;Bamaca Krische;Sergio Leonel;sergbama@walla.com;10ma. Calle;17-09;15
136;Barahona Colay;Mónica Daphné;monibara@aol.com;10ma. Calle;14-75;16
137;Barahona Colay;Fernando Andre;fernbara@yahoo.com;5ta. Avenida;6-62;17
138;Barillas Almirez;Cindy Fabiola;cindbari@hotmail.com;9na. Avenida;3-14;18
139;Barillas Boch;Katherine Gabriela;kathbari@gmail.com;5ta. Avenida;11-20;19
140;Barillas González;Luisa Fernanda;luisbari@msn.com;6ta. Calle;12-75;21
141;Barillas Morales;Mónica José;monibari@gmail.com;2da. Calle;14-77;1
142;Barillas Morales;Sthéphanie Raquel;sthebari@yahoo.es;1ra. Avenida;17-50;2
143;Barillas Sunuc;Mónica José;monibari@walla.com;3ra. Avenida;14-78;3
144;Barrera Morán;Andrea;andrbarr@aol.com;6ta. Calle;1-11;4
145;Barrera Valencia;Kevin Estuardo;kevibarr@yahoo.com;7ma. Avenida;11-52;5
146;Barrientos Davila;Alejandra Beatriz;alejbarr@hotmail.com;3ra. Avenida;4-13;6
147;Barrientos López;Cindy Lucero;cindbarr@gmail.com;1ra. Avenida;3-16;7
148;Barrientos López;Mónica María;monibarr@msn.com;4ta. Calle;14-79;8
149;Barrientos López;Jose Javier;josebarr@gmail.com;6ta. Calle;9-70;9
150;Barrientos Moreno;Mynor Enrique;mynobarr@yahoo.es;2da. Calle;14-87;10
151;Barrientos Santizo;Jessica Melissa;jessbarr@walla.com;3ra. Avenida;8-91;11
152;Barrios;Edwin Fernando;edwibarr@aol.com;8va. Calle;5-62;12
153;Barrios Bate;Clara Gabriela;clarbarr@yahoo.com;5ta. Avenida;3-20;13
154;Barrios Franco;Nancy Andrea;nancbarr@hotmail.com;3ra. Avenida;15-01;14
155;Barrios Guerra;Cinthia Cristal;cintbarr@gmail.com;3ra. Avenida;3-18;15
156;Barrios Guerra;Rigel Andrea;rigebarr@msn.com;4ta. Calle;16-04;16
157;Barrios Morales;Marcos Ricardo;marcbarr@gmail.com;2da. Calle;13-23;17
158;Barrios Ordoñez;Nancy Estefani;nancbarr@yahoo.es;5ta. Avenida;15-03;18
159;Barrios Ordoñez;Sidley Andrea;sidlbarr@walla.com;3ra. Avenida;17-22;19
160;Barrios Rivera;Marvin Daniel;marvbarr@aol.com;7ma. Avenida;14-12;21
161;Barrios Rivera;Nathaly;nathbarr@yahoo.com;1ra. Avenida;15-09;1
162;Barrios Rivera;Karla Elizabeth;karlbarr@hotmail.com;4ta. Calle;10-81;2
163;Barrios Sandoval;Jose Guillermo;josebarr@gmail.com;1ra. Avenida;9-65;3
164;Barrios Tiu;Ana Lucía;anabarr@msn.com;1ra. Avenida;4-51;4
165;Batres Estrada;Claudia Maria;claubatr@gmail.com;7ma. Avenida;3-22;5
166;Batres Estrada;Nathaly Andrea;nathbatr@yahoo.es;2da. Calle;15-10;6
167;Batres Garay;Maysun Ali;maysbatr@walla.com;9na. Avenida;14-34;7
168;Batres Solórzano;Elvia Andrea;elvibatr@aol.com;3ra. Avenida;5-87;8
169;Batz Gómez;Nicté Andrea;nictbatz@yahoo.com;6ta. Calle;15-14;9
170;Batz Gómez;Naria Alejandra;naribatz@hotmail.com;10ma. Calle;15-08;10
171;Batz Gómez;Angello Estuardo;angebatz@gmail.com;9na. Avenida;1-44;11
172;Batz Quiej;Cristian Jair;crisbatz@msn.com;10ma. Calle;3-35;12
173;Batz Quiej;Oscar Giovanni;oscabatz@gmail.com;10ma. Calle;15-38;13
174;Bautista Ortiz;Angel Antonio;angebaut@yahoo.es;2da. Calle;1-37;14
175;Benavente Chacón;Oscar René;oscabena@walla.com;4ta. Calle;15-42;15
176;Benítez Morán;Werner Alejandro;wernbeni@aol.com;9na. Avenida;18-42;16
177;Berdúo;Oscar Ricardo;oscaberd@yahoo.com;6ta. Calle;15-44;17
178;Berdúo Torres;Valerie Astrid Yazmín;valeberd@hotmail.com;7ma. Avenida;17-66;18
179;Bernardino Ambrocio;Oscar Roberto;oscabern@gmail.com;7ma. Avenida;15-45;19
180;Bernard-Moulin López;Carlos Andrés;carlbern@msn.com;9na. Avenida;2-54;21
181;Beteta Xoy;Cristian Josué;crisbete@gmail.com;1ra. Avenida;3-36;1
182;Blanco Cordova;Diana María Militza;dianblan@yahoo.es;1ra. Avenida;5-05;2
183;Blanco Herrera;Andrea Isabel;andrblan@walla.com;7ma. Avenida;1-22;3
184;Boche Alvarado;Otto René;ottoboch@aol.com;5ta. Avenida;15-53;4
185;Boche Ilobares;Christian Fernando;chriboch@yahoo.com;6ta. Calle;3-01;5
186;Bolaños Castellanos;Pablo César;pablbola@hotmail.com;10ma. Calle;15-58;6
187;Bolaños Castellanos;Dulce Maria;dulcbola@gmail.com;2da. Calle;5-26;7
188;Bolaños Corado;Gabriela María;gabrbola@msn.com;9na. Avenida;7-01;8
189;Bolaños Corado;Cuixin;cuixbola@gmail.com;10ma. Calle;3-45;9
190;Bolaños Orantes;José Leopoldo;josebola@yahoo.es;10ma. Calle;9-74;10
191;Bolaños Rosales;Paty;patybola@walla.com;8va. Calle;15-66;11
192;Bonilla Pérez;Javier Alejandro;javiboni@aol.com;10ma. Calle;8-48;12
193;Bonilla Pérez;Lourdes Angélica;lourboni@yahoo.com;7ma. Avenida;12-16;13
194;Boror López;Paul Andres;paulboro@hotmail.com;10ma. Calle;15-68;14
195;Borrayo De León;Carlos Fernando;carlborr@gmail.com;6ta. Calle;2-61;15
196;Bravo Arango;Leo Alejandro;leobrav@msn.com;5ta. Avenida;11-90;16
197;Bravo Arango;Daniel Enrique;danibrav@gmail.com;5ta. Avenida;3-60;17
198;Briones López;Pedro Gonzalo De Jesús;pedrbrio@yahoo.es;7ma. Avenida;15-75;18
199;Bulux Xalix;Francisco Javier;franbulu@walla.com;10ma. Calle;6-77;19
200;Caal Asij;Jonathan Fabian;jonacaal@aol.com;8va. Calle;9-12;21
201;Cabrera;Ana Lucrecia;anacabr@yahoo.com;5ta. Avenida;4-55;1
202;Cabrera Ávila;Pedro Pablo;pedrcabr@hotmail.com;9na. Avenida;15-77;2
203;Cabrera Ávila;Jarrol Evanni Josué;jarrcabr@gmail.com;4ta. Calle;8-42;3
204;Cabrera Caraballo;Jennifer Masiel;jenncabr@msn.com;2da. Calle;8-80;4
205;Cabrera Díaz;René;renecabr@gmail.com;8va. Calle;15-86;5
206;Cabrera Guzmán;Diego José;diegcabr@yahoo.es;10ma. Calle;5-14;6
207;Cáceres Alva;Daniel Francisco;danicace@walla.com;7ma. Avenida;3-62;7
208;Cáceres Rivera;Sergio Hiram;sergcace@aol.com;9na. Avenida;17-08;8
209;Cacheo Encalada;Ricardo Héctor Leonel;ricacach@yahoo.com;2da. Calle;16-02;9
210;Calderón Avila;Josué Alejandro;josucald@hotmail.com;9na. Avenida;10-26;10
211;Calderón Cardona;Vivian Zussette;vivicald@gmail.com;9na. Avenida;18-22;11
212;Calderón Cardona;Alejandro José;alejcald@msn.com;4ta. Calle;4-14;12
213;Calderón Hernández;Roberto Carlos;robecald@gmail.com;6ta. Calle;16-06;13
214;Calderón Motta;Derek Eduardo;derecald@yahoo.es;9na. Avenida;5-03;14
215;Calderón Navas;Daniela;danicald@walla.com;8va. Calle;3-63;15
216;Calderón Navas;Rocío Gisselle;rocicald@aol.com;9na. Avenida;16-09;16
217;Calderón Roldán;Eskarleth Sujey;eskacald@yahoo.com;6ta. Calle;6-33;17
218;Calderón Tanchez;José Ricardo;josecald@hotmail.com;8va. Calle;10-05;18
219;Cali Gómez;José Eduardo;josecali@gmail.com;7ma. Avenida;9-61;19
220;Calito Valladares;Rodolfo Stuardo;rodocali@msn.com;2da. Calle;16-12;21
221;Camey Barrios;Marco Antonio;marccame@gmail.com;8va. Calle;13-19;1
222;Campollo Rivera;Daniela Cristina;danicamp@yahoo.es;9na. Avenida;3-64;2
223;Campos De León;Rony Stuardo;ronycamp@walla.com;9na. Avenida;16-19;3
224;Campos Escobar;Javier Andres;javicamp@aol.com;2da. Calle;8-50;4
225;Campos Palma;Marco Antonio;marccamp@yahoo.com;9na. Avenida;13-20;5
226;Campos Sazo;Nina Valeria;ninacamp@hotmail.com;9na. Avenida;15-17;6
227;Canel Chávez;Rosemarie;rosecane@gmail.com;6ta. Calle;16-26;7
228;Canel Gutiérrez;Leslie Odalys;leslcane@msn.com;9na. Avenida;11-94;8
229;Canel Salazar;Mariajose;maricane@gmail.com;9na. Avenida;13-70;9
230;Caniz López;Santiago Andrés;santcani@yahoo.es;5ta. Avenida;16-55;10
231;Caniz López;Rebeca Maria Del Carmen;rebecani@walla.com;7ma. Avenida;15-85;11
232;Cano Diaz;Daphne;daphcano@aol.com;4ta. Calle;3-69;12
233;Cano Diaz;Orlando Emanuel;orlacano@yahoo.com;3ra. Avenida;15-31;13
234;Cano Diaz;Sathya Verónica;sathcano@hotmail.com;6ta. Calle;16-66;14
235;Cano Echeverria;Andrea Mariela;andrcano@gmail.com;5ta. Avenida;1-30;15
236;Cáno Vásquez;Rubén Alejandro;rubecano@msn.com;9na. Avenida;16-29;16
237;Canté Alvarez;Anaite Del Rosario;anaicant@gmail.com;1ra. Avenida;1-06;17
238;Cap González;Selvin Iván;selvcap@yahoo.es;2da. Calle;17-01;18
239;Cárcamo Méndez;Pamela Abigail;pamecarc@walla.com;5ta. Avenida;15-63;19
240;Cardona Calderón;David Antonio;davicard@aol.com;10ma. Calle;3-75;21
241;Cardona Larios;Chad Morony Alejandro;chadcard@yahoo.com;1ra. Avenida;2-86;1
242;Cardona Lemus;Sergio Eduardo;sergcard@hotmail.com;7ma. Avenida;17-06;2
